Borough,Neighborhood,latitude,longitude
New Delhi,Barakhamba Road,28.6291417,77.2261489
New Delhi,Chanakyapuri,28.5946775,77.1885212
New Delhi,Connaught Place,28.6313827,77.2197924
New Delhi,Gautampuri,28.5115704,77.3026233
New Delhi,Gole Market,28.63371865,77.20562662
New Delhi,Golf Links,28.5959698,77.2311628
New Delhi,INA Colony,28.5794721,77.2124508
New Delhi,Khan Market,28.6001354,77.22649064
New Delhi,Laxmibai Nagar,,
New Delhi,Pragati Maidan,28.6234593,77.2425121
East Delhi,Brij Puri,28.7025095,77.2737771
East Delhi,East Vinod Nagar,28.6227661,77.3075035
East Delhi,Gandhi Nagar,39.0317139,-90.2612233
East Delhi,Geeta Colony,28.65010115,77.2759209
East Delhi,Jhilmil Colony,28.6698142,77.3072827
East Delhi,Krishna Nagar,28.5637017,77.19340976
East Delhi,Laxmi Nagar,28.6303085,77.2775633
East Delhi,Mayur Vihar,28.6131071,77.2957221
East Delhi,Pandav Nagar,28.6501272,77.1532783
East Delhi,Patparganj,28.6115923,77.2905644
East Delhi,Preet Vihar,28.6377532,77.2951746
East Delhi,Anand Vihar,28.6256914,77.10194107
East Delhi,Shakarpur,28.62948875,77.28106073
East Delhi,Shastri Nagar,39.0317139,-90.2612233
East Delhi,Silampur,,
East Delhi,Vasundhara Enclave,28.60172565,77.3211225
East Delhi,Vishwas Nagar,28.66447005,77.29174139
East Delhi,Vivek Vihar,28.6691641,77.31226695
East Delhi,Shahdara,28.6773038,77.2903467
South Delhi,Alaknanda,28.5293364,77.2516323
South Delhi,Chhattarpur,28.5070073,77.1754171
South Delhi,Chittaranjan Park,28.5387523,77.24924935
South Delhi,Dayanand Colony,28.5621997,77.2476131
South Delhi,Defence Colony,28.5717909,77.2320102
South Delhi,East of Kailash,28.5570322,77.24461392
South Delhi,Friends Colony,28.5667513,77.2619181
South Delhi,Govindpuri,39.0317139,-90.2612233
South Delhi,Greater Kailash,28.5546327,77.2285698
South Delhi,Green Park,28.5580022,77.2068211
South Delhi,Gulmohar Park,28.5571011,77.2130055
South Delhi,Hauz Khas,28.5442564,77.2067072
South Delhi,Hauz Khas Village,28.55385485,77.19471276
South Delhi,Jaitpur,28.5004766,77.3161916
South Delhi,Jamroodpur Village,,
South Delhi,Jangpura,28.58245705,77.24150007
South Delhi,Jasola,28.5422327,77.2943856
South Delhi,Jor Bagh,28.5865942,77.2125637
South Delhi,Kailash Colony,28.5530522,77.2429694
South Delhi,Kalkaji,39.0317139,-90.2612233
South Delhi,Khanpur,28.5127982,77.2323949
South Delhi,Khirki Village,28.5298852,77.2180771
South Delhi,Kotla Mubarakpur,,
South Delhi,Lajpat Nagar,28.5654623,77.2456272
South Delhi,Lodi Colony,28.59070215,77.22092057
South Delhi,Maharani Bagh,28.5720013,77.2633718
South Delhi,Malviya Nagar,28.5339201,77.2124474
South Delhi,Mehrauli,28.5218262,77.1783232
South Delhi,Neeti Bagh,28.5592511,77.2161665
South Delhi,Nehru Place,28.54925735,77.252952
South Delhi,Netaji Nagar,28.5735343,77.1863593
South Delhi,New Friends Colony,28.5671008,77.2697643
South Delhi,Nizamuddin West,28.588365,77.2449546
South Delhi,Okhla,28.5636616,77.2890546
South Delhi,Pulpehaladpur,,
South Delhi,Safdarjung Enclave,28.5656419,77.1934382
South Delhi,Sainik Farm,28.503746,77.21607253
South Delhi,Saket,28.5244107,77.2137253
South Delhi,Sangam Vihar,28.49770245,77.2391741
South Delhi,Sarita Vihar,28.5334785,77.2935232
South Delhi,Sarojini Nagar,28.5741575,77.1953703
South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
South Delhi,Shahpur Jat,28.5483303,77.214104
South Delhi,Siri Fort,28.5521464,77.2246983
South Delhi,South Extension,28.5685664,77.2205677
South Delhi,Sriniwaspuri,28.5652204,77.2547041
South Delhi,Sundar Nagar[1],,
South Delhi,Tughlaqabad,28.5111925,77.2623265
South Delhi,Badarpur,28.5036378,77.30197582
South West Delhi,"Dabri, New Delhi",,
South West Delhi,Dwarka Sub City,,
South West Delhi,Delhi Cantonment,28.5835356,77.12598539
South West Delhi,Dhaula Kuan,28.5918905,77.1617034
South West Delhi,Ghitorni,28.4938107,77.1491661
South West Delhi,Inderpuri,28.6286841,77.1470979
South West Delhi,Kirby Place,28.61174115,77.12852687
South West Delhi,Kishangarh Village,28.5194277,77.1665351
South West Delhi,Mahipalpur,28.5444849,77.1256912
South West Delhi,Moti Bagh,28.5778787,77.1741797
South West Delhi,Munirka,28.554886,77.1710841
South West Delhi,Najafgarh,28.612304,76.9823908
South West Delhi,Naraina,28.6220547,77.1386441
South West Delhi,Palam,28.5671733,77.1340317
South West Delhi,Rama Krishna Puram,28.5755607,77.17230337
South West Delhi,Rajokri,28.5131702,77.1107659
South West Delhi,Rangpuri,28.5400072,77.1197754
South West Delhi,Sarojini Nagar,28.5741575,77.1953703
South West Delhi,Sagar Pur,,
South West Delhi,Vasant Kunj,28.5292495,77.1541335
South West Delhi,Vasant Vihar,28.56069055,77.16079073
West Delhi,Ashok Nagar,39.0317139,-90.2612233
West Delhi,Bali Nagar,28.6541384,77.128178
West Delhi,Dhaula Kuan,28.5918905,77.1617034
West Delhi,Fateh Nagar,28.6316154,77.1008776
West Delhi,Janakpuri,28.6219272,77.0874757
West Delhi,Kirti Nagar,28.6523681,77.1496416
West Delhi,Meera Bagh,28.658844,77.09084751
West Delhi,Moti Nagar,28.657859,77.1424288
West Delhi,Nehru Nagar,39.0317139,-90.2612233
West Delhi,Partap Nagar,,
West Delhi,Paschim Vihar,28.6695782,77.095956
West Delhi,Patel Nagar,28.6598088,77.156957
West Delhi,Punjabi Bagh,28.668945,77.1324614
West Delhi,Rajouri Garden,28.6421518,77.11606038
West Delhi,Shivaji Place,28.651657,77.1217027
West Delhi,Tihar Village,,
West Delhi,Tilak Nagar,28.63964975,77.09403946
West Delhi,Uttam Nagar,,
West Delhi,Vikas Nagar,28.6440092,77.05447043
West Delhi,Vikaspuri,28.63841905,77.07083615
